罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田４丁目,2019/5/1,6,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田新町１丁目,2019/8/3,0,一戸建住宅,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田新町１丁目,2019/12/27,19,一戸建住宅,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田新町２丁目,2019/10/25,10,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田新町２丁目,2019/10/30,23,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田新町３丁目,2019/2/6,5,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田新町３丁目,2019/2/13,22,一戸建住宅,10歳代,大学生,施錠せず
窃盗,自転車盗,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田新町３丁目,2019/3/17,20,一戸建住宅,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田新町３丁目,2019/6/18,8,一戸建住宅,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田向町,2019/1/7,13,道路上,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田向町,2019/1/19,20,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田向町,2019/3/19,8,一戸建住宅,10歳代,小学生,施錠せず
窃盗,自転車盗,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田向町,2019/5/17,22,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田向町,2019/6/24,22,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田２丁目,2019/5/1,9,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田２丁目,2019/6/21,21,一戸建住宅,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田２丁目,2019/7/12,11,その他,70歳以上,その他,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田２丁目,2019/9/12,18,一戸建住宅,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田２丁目,2019/9/24,19,一戸建住宅,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田２丁目,2019/12/23,2,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田３丁目,2019/4/14,7,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田３丁目,2019/11/14,20,４階建て以上共同住宅,10歳代,小学生,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田４丁目,2019/8/20,20,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田５丁目,2018/5/19,20,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田５丁目,2019/3/13,21,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田５丁目,2019/3/26,6,４階建て以上共同住宅,70歳以上,その他,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田５丁目,2019/4/13,13,４階建て以上共同住宅,10歳未満,小学生,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田５丁目,2019/4/14,12,４階建て以上共同住宅,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,小田,141313,神奈川県,川崎市川崎区,小田５丁目,2019/6/20,13,４階建て以上共同住宅,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,浅田,141313,神奈川県,川崎市川崎区,浅田２丁目,2019/7/25,16,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,浅田,141313,神奈川県,川崎市川崎区,浅田２丁目,2019/10/21,19,道路上,60-64歳,その他,施錠せず
窃盗,自転車盗,川崎,浅田,141313,神奈川県,川崎市川崎区,浅田３丁目,2019/8/13,20,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,浅田,141313,神奈川県,川崎市川崎区,小田４丁目,2019/9/11,23,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,浅田,141313,神奈川県,川崎市川崎区,小田６丁目,2019/3/23,17,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,浅田,141313,神奈川県,川崎市川崎区,小田６丁目,2019/6/26,23,４階建て以上共同住宅,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,浅田,141313,神奈川県,川崎市川崎区,京町３丁目,2019/3/5,20,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,浅田,141313,神奈川県,川崎市川崎区,京町３丁目,2019/4/14,20,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,川崎,浅田,141313,神奈川県,川崎市川崎区,京町３丁目,2019/8/7,16,一戸建住宅,10歳代,小学生,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,追分町,2019/2/19,16,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,追分町,2019/7/30,10,道路上,10歳代,小学生,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,追分町,2019/10/19,15,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,追分町,2019/10/21,20,４階建て以上共同住宅,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,,2019/8/29,8,道路上,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島１丁目,2019/2/16,23,一戸建住宅,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島１丁目,2019/5/2,1,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島１丁目,2019/5/2,18,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島２丁目,2019/10/5,17,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島２丁目,2019/11/19,22,４階建て以上共同住宅,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島２丁目,2019/12/15,15,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島３丁目,2019/3/16,8,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島３丁目,2019/6/4,19,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島３丁目,2019/7/10,18,道路上,70歳以上,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島３丁目,2019/7/17,16,その他の住宅（３階建て以下共同住宅等）,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島３丁目,2019/9/21,16,４階建て以上共同住宅,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島３丁目,2019/10/30,14,道路上,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島３丁目,2019/11/2,18,道路上,65-69歳,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島３丁目,2019/11/23,22,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島４丁目,2019/2/17,7,一戸建住宅,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島４丁目,2019/3/15,19,その他,70歳以上,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島４丁目,2019/4/9,23,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島４丁目,2019/5/15,21,道路上,65-69歳,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島４丁目,2019/7/2,15,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島４丁目,2019/7/5,22,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島４丁目,2019/8/11,6,一戸建住宅,70歳以上,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島上町,2019/2/20,7,道路上,60-64歳,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島上町,2019/5/29,17,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島上町,2019/7/20,7,その他の住宅（３階建て以下共同住宅等）,10歳代,高校生,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島上町,2019/9/19,22,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島上町,2019/10/4,16,４階建て以上共同住宅,10歳代,高校生,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,大島上町,2019/11/17,19,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,大島町,141313,神奈川県,川崎市川崎区,境町,2019/10/27,18,４階建て以上共同住宅,10歳代,小学生,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,川中島１丁目,2019/9/26,15,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,川中島２丁目,2018/12/31,17,道路上,10歳代,小学生,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師駅前１丁目,2019/2/20,17,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師駅前１丁目,2019/4/22,19,道路上,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師駅前１丁目,2019/6/3,12,その他,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師駅前１丁目,2019/6/18,17,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師駅前１丁目,2019/8/22,18,道路上,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師駅前１丁目,2019/9/18,14,４階建て以上共同住宅,60-64歳,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師駅前１丁目,2019/10/25,19,道路上,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師駅前２丁目,2019/3/17,19,道路上,10歳代,高校生,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師公園,2019/9/6,21,その他,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師町,2019/8/2,22,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,中瀬２丁目,2019/4/12,18,道路上,10歳代,高校生,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,中瀬３丁目,2019/1/15,20,４階建て以上共同住宅,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,中瀬３丁目,2019/1/27,12,４階建て以上共同住宅,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,中瀬３丁目,2019/6/7,19,道路上,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,中瀬３丁目,2019/6/24,10,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,中瀬３丁目,2019/6/29,1,４階建て以上共同住宅,70歳以上,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,中瀬３丁目,2019/9/1,17,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,中瀬３丁目,2019/9/18,17,一戸建住宅,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,中瀬３丁目,2019/9/22,20,その他の住宅（３階建て以下共同住宅等）,10歳代,小学生,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,中瀬３丁目,2019/10/23,21,４階建て以上共同住宅,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,中瀬３丁目,2019/12/3,15,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,東門前２丁目,2019/9/23,15,一戸建住宅,10歳代,小学生,施錠せず
窃盗,自転車盗,川崎,大師駅前,141313,神奈川県,川崎市川崎区,東門前３丁目,2019/7/1,22,道路上,20歳代,大学生,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,大島５丁目,2019/1/26,21,一戸建住宅,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,大島５丁目,2019/2/23,16,一戸建住宅,70歳以上,その他,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,大島５丁目,2019/6/25,18,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,大島５丁目,2019/10/19,19,一戸建住宅,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,大島５丁目,2019/11/27,20,４階建て以上共同住宅,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎１丁目,2019/3/24,22,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎１丁目,2019/10/7,8,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎２丁目,2019/6/16,18,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎２丁目,2019/6/28,19,道路上,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎２丁目,2019/11/29,18,道路上,65-69歳,その他,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎３丁目,2019/1/20,16,その他の住宅（３階建て以下共同住宅等）,10歳代,小学生,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎３丁目,2019/6/11,15,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎３丁目,2019/7/24,18,４階建て以上共同住宅,10歳代,その他,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎３丁目,2019/8/8,19,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎３丁目,2019/8/24,18,４階建て以上共同住宅,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎４丁目,2019/1/19,1,その他,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎４丁目,2019/7/21,15,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎４丁目,2019/9/7,1,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,旭町２丁目,2019/1/12,18,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,旭町２丁目,2019/1/13,0,一戸建住宅,70歳以上,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,旭町２丁目,2019/1/20,9,道路上,65-69歳,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,旭町２丁目,2019/6/30,20,一戸建住宅,10歳代,小学生,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,旭町２丁目,2019/7/22,9,道路上,65-69歳,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,伊勢町,2019/2/10,18,４階建て以上共同住宅,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,伊勢町,2019/4/9,18,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,伊勢町,2019/7/28,22,一戸建住宅,10歳代,高校生,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,伊勢町,2019/9/2,19,一戸建住宅,10歳代,高校生,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,伊勢町,2019/12/28,18,その他の住宅（３階建て以下共同住宅等）,60-64歳,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島１丁目,2019/5/8,19,一戸建住宅,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島１丁目,2019/6/8,23,その他の住宅（３階建て以下共同住宅等）,60-64歳,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島１丁目,2019/7/19,11,道路上,70歳以上,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島１丁目,2019/9/30,17,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島１丁目,2019/10/26,16,一戸建住宅,70歳以上,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島２丁目,2019/1/27,8,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島２丁目,2019/4/14,21,４階建て以上共同住宅,65-69歳,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島２丁目,2019/6/12,10,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島２丁目,2019/11/12,8,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島３丁目,不明,不明,４階建て以上共同住宅,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島３丁目,2019/4/5,22,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島３丁目,2019/5/14,11,その他の住宅（３階建て以下共同住宅等）,60-64歳,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島３丁目,2019/7/23,15,その他,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島３丁目,2019/9/14,22,道路上,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,中島３丁目,2019/9/20,0,道路上,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,港町,2019/1/7,10,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,港町,2019/1/13,11,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,港町,2019/3/11,21,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,港町,2019/7/26,18,４階建て以上共同住宅,10歳代,小学生,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,港町,2019/9/9,15,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,港町,2019/11/11,12,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,中島町,141313,神奈川県,川崎市川崎区,港町,2019/12/23,10,駐車（輪）場,65-69歳,その他,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,旭町１丁目,2019/8/12,16,その他の住宅（３階建て以下共同住宅等）,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,旭町１丁目,2019/10/29,21,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,榎町,2019/2/23,17,一戸建住宅,60-64歳,その他,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,榎町,2019/5/24,20,４階建て以上共同住宅,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,榎町,2019/7/31,19,４階建て以上共同住宅,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,榎町,2019/12/6,8,４階建て以上共同住宅,70歳以上,その他,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,境町,2019/6/14,9,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,境町,2019/9/11,19,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,境町,2019/9/12,22,４階建て以上共同住宅,65-69歳,その他,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,境町,2019/9/27,12,一戸建住宅,65-69歳,その他,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,富士見１丁目,2018/12/29,10,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,富士見１丁目,2019/1/18,20,道路上,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,富士見１丁目,2019/4/26,19,４階建て以上共同住宅,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,富士見１丁目,2019/6/13,18,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,富士見１丁目,2019/6/24,17,道路上,10歳代,小学生,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,富士見１丁目,2019/7/26,19,４階建て以上共同住宅,10歳代,中学生,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,富士見１丁目,2019/10/28,4,その他の住宅（３階建て以下共同住宅等）,10歳代,大学生,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,富士見２丁目,2019/6/8,13,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,富士見２丁目,2019/6/23,4,その他,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,富士見公園,141313,神奈川県,川崎市川崎区,富士見２丁目,2019/8/25,18,その他,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,旭町１丁目,2019/11/25,23,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,池田１丁目,2019/11/15,20,４階建て以上共同住宅,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,砂子１丁目,2018/12/30,19,道路上,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,砂子１丁目,2019/2/1,1,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,砂子１丁目,2019/5/12,11,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,砂子１丁目,2019/9/27,17,道路上,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,砂子１丁目,2019/11/18,18,道路上,30歳代,その他,施錠せず
窃盗,自転車盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,砂子２丁目,2019/1/5,1,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,砂子２丁目,2019/1/5,18,道路上,50歳代,その他,施錠せず
窃盗,自転車盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,砂子２丁目,2019/1/20,13,道路上,20歳代,その他,施錠せず
窃盗,自転車盗,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,砂子２丁目,2019/1/24,20,駐車（輪）場,30歳代,その他,施錠せず
